RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract�
covidestim: COVID-19 nowcasting https://t.co/WrqpdbNmRu 2 weeks to flatten the curve? https://t.co/f4Ydg90xpr
Canadian inflation hit a new three-decade high in January, heaping more pressure on the Bank of Canada to raise int� https://t.co/vsKOIU06d2
2022-02-17 18:17:54+00:00,"b'RT @sonalirajan: Last week, a few of my wonderful @Columbia colleagues and I wrote an open letter to illustrate that among public health re\xe2\x80\xa6'"
2022-02-17 18:17:52+00:00,"b""If states don't prepare, access to health coverage could be at stake if the COVID-19 Public Health Emergency is not\xe2\x80\xa6 https://t.co/HEpxMWNXeR"""
2022-02-17 18:17:50+00:00,"b'RT @influenzer3: Hospitalizations of Children and Adolescents with Laboratory-Confirmed COVID-19 \xe2\x80\x94 COVID-NET, 14 States, July 2021\xe2\x80\x93January\xe2\x80\xa6'"
2022-02-17 18:17:50+00:00,"b'RT @peterdaou: Perfect time to unmask, right?\n\n""A subvariant that scientists believe is even more contagious is on the rise, and a decline\xe2\x80\xa6'"
2022-02-17 18:17:49+00:00,"b'Much has changed since the spring of 2021. More than 63% of Americans are fully vaccinated, new daily COVID-19 case\xe2\x80\xa6 https://t.co/NCnQ2uuEXy'"
2022-02-17 18:17:47+00:00,"b'RT @MatteaMerta: ""I am announcing that as of today all the restrictive measures imposed by COVID-19 are suspended,"" President of the Domini\xe2\x80\xa6'"
2022-02-17 18:17:45+00:00,"b'RT @CapitolNewsIL: As of Monday afternoon, the 4th District Court of Appeals had not yet ruled on the motion for an emergency stay. https:/\xe2\x80\xa6'"
2022-02-17 18:17:44+00:00,"b'RT @WCIA3Bret: JUST IN: Big changes coming to #Illini athletics events, with the school dropping the mask mandate and COVID-19 proof of vac\xe2\x80\xa6'"
2022-02-17 18:17:44+00:00,b'Zyesami (Aviptadil) could be a huge game changer for Covid and other lung-related issues. I have been posting about\xe2\x80\xa6 https://t.co/6ZzfI49KzU'
2022-02-17 18:17:44+00:00,b'RT @TheEconomist: Women fared worse than men https://t.co/oIDYFVKjqt'
2022-02-17 18:17:43+00:00,b'RT @MGHToronto: \xe2\x80\xbc\xef\xb8\x8f Our pop-up vaccine clinic at Roden PS is cancelled today (Feb. 17) due to flooding. If you\xe2\x80\x99re looking for a #COVID19 vac\xe2\x80\xa6'
2022-02-17 18:17:42+00:00,b'RT @Parsifaler: 1) A UNIFYING THEORY OF COVID-19 PATHOLOGY: THE SPIKE PROTEIN AS SCLEROTHERAPEUTIC\nTRANSFORMING THE VASCULATURE INTO SCAR T\xe2\x80\xa6'
2022-02-17 18:17:41+00:00,"b'@winstonpeters Livestream: PM with latest on COVID-19 Omicron outbreak, Parliament protest you choose kind words Mr\xe2\x80\xa6 https://t.co/rHZ72WJpCy'"
2022-02-17 18:17:39+00:00,"b'RT @JacksonHealth: Jackson Health System hospitals currently have 128 patients who have tested positive for COVID-19.\n\nOf those, 82 patient\xe2\x80\xa6'"
2022-02-17 18:17:39+00:00,"b'As part of our booster action plan, @MDHealthDept will now begin offering COVID-19 vaccinations at Maryland\xe2\x80\x99s six c\xe2\x80\xa6 https://t.co/DjOpYAcIZf'"
2022-02-17 18:17:37+00:00,b'RT @Parsifaler: 1) A UNIFYING THEORY OF COVID-19 PATHOLOGY: THE SPIKE PROTEIN AS SCLEROTHERAPEUTIC\nTRANSFORMING THE VASCULATURE INTO SCAR T\xe2\x80\xa6'
2022-02-17 18:17:37+00:00,b'RT @tylerwatt90: Min. Lecce announcing $35 million in funding after recently cutting $500 million from education. This is a classic Ford go\xe2\x80\xa6'
2022-02-17 18:17:36+00:00,"b'RT @TinaBey6: Results of COVID-19 tests on 14 February 2022 confirm 63 new cases. The cumulative confirmed cases are 162,865. #STAYSAFEUG\n#\xe2\x80\xa6'"
2022-02-17 18:17:36+00:00,"b'This seems to be an unfortunate truth, but there is help and support available.  https://t.co/WfaCHAHghH'"
2022-02-17 18:17:36+00:00,b'One More Time: 2022 COVID-19 Supplemental Paid Sick Leave for California Employees https://t.co/momPbsX8HC'
2022-02-17 18:17:35+00:00,"b'RT @ChristyCeeCK: ""Denmark has continued to record more COVID-19 cases per capita than nearly anywhere else in the world, and both COVID ho\xe2\x80\xa6'"
2022-02-17 18:17:34+00:00,b'RT @angusreidforum: Trudeau invokes Emergencies Act: good or bad move?\n\nLet us know!\n\n#canada\xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 #ottawa #blocquebecois #cdnpoli #cdnpolitic\xe2\x80\xa6'
2022-02-17 18:17:33+00:00,b'RT @CityNewsTO: #NEW: The Novavax COVID-19 vaccine has been approved for use in Canada.\n\nThe protein-based vaccine is the first of its kind\xe2\x80\xa6'
2022-02-17 18:17:31+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"
2022-02-17 18:17:31+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"
2022-02-17 18:17:31+00:00,b'RT @ShamikDasgupta1: Danish authorities were moved to write a fact-checking document to combat covid misinformation.\n\nNot the kind of misin\xe2\x80\xa6'
2022-02-17 18:17:31+00:00,"b'RT @highcountrynews: COVID-19 has exacerbated almost every inequity in Indian Country, but Tribes are now using data sovereignty to combat\xe2\x80\xa6'"
2022-02-17 18:17:30+00:00,"b""RT @AUS_SUA: \xf0\x9f\x93\xa2Women's basketball schedule change \xf0\x9f\x93\xa2 \n\nFriday night's @UNBAthletics / @UPEIPanthers game @ UPEI has been postponed. This chan\xe2\x80\xa6"""
2022-02-17 18:17:29+00:00,"b'RT @MatteaMerta: ""I am announcing that as of today all the restrictive measures imposed by COVID-19 are suspended,"" President of the Domini\xe2\x80\xa6'"
2022-02-17 18:17:29+00:00,b'RT @Parsifaler: 1) A UNIFYING THEORY OF COVID-19 PATHOLOGY: THE SPIKE PROTEIN AS SCLEROTHERAPEUTIC\nTRANSFORMING THE VASCULATURE INTO SCAR T\xe2\x80\xa6'
2022-02-17 18:17:28+00:00,b'RT @Patriotgirl0000: Did I read this right?\n\n\xe2\x80\x9cunvaccinated truckers bringing COVID-19 vaccines and medical devices into Canada exempt from\xe2\x80\xa6'
2022-02-17 18:17:28+00:00,b'RT @EssexPR: Vaccinate the vulnerable turned into vaccinate anything that moves.\nIt was either the plan from the off and they lied or they\xe2\x80\xa6'
2022-02-17 18:17:28+00:00,b'RT @statsjamie: JCVI - \xe2\x80\x98Over 85% of children 5 to 11 will have had prior Covid infection by the end of Jan. Natural immunity arising from p\xe2\x80\xa6'
2022-02-17 18:17:27+00:00,"b'Singapore reports 18,545 new COVID-19 cases, 4 deaths https://t.co/bggqiS4b50'"
2022-02-17 18:17:26+00:00,b'RT @Patriotgirl0000: Did I read this right?\n\n\xe2\x80\x9cunvaccinated truckers bringing COVID-19 vaccines and medical devices into Canada exempt from\xe2\x80\xa6'
2022-02-17 18:17:26+00:00,"b'RT @CNN: Mark Finchem, the Arizona secretary of state candidate backed by former President Donald Trump, spread dangerous misinformation ab\xe2\x80\xa6'"
2022-02-17 18:17:24+00:00,"b'Sajid Javid: Support for 500,000 Immunocompromised People for whom Covid-19 remains a significant risk - Sign the P\xe2\x80\xa6 https://t.co/VaTWOXuZtS'"
2022-02-17 18:17:23+00:00,b'California Rolls Out New COVID-19 Supplemental Paid Sick Leave for 2022 https://t.co/EBaWXUIacx | by @ebglaw'
2022-02-17 18:17:23+00:00,"b""RT @kathnolanspark: So delighted to announce the launch of the Research Report, 'Reflect, Recover, Renew: investigating the impact of Covid\xe2\x80\xa6"""
2022-02-17 18:17:23+00:00,b'RT @SEIU: Solidarity to the workers at Great Lakes Coffee Roasting Co. in Detroit who went on strike Wednesday morning. The workers are dem\xe2\x80\xa6'
2022-02-17 18:17:21+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"
2022-02-17 18:17:18+00:00,b'RT @rodigualEri: Youth innovators based in Eritrea created an android application which doesn\xe2\x80\x99t require internet (offline) for Covid-19 and\xe2\x80\xa6'
2022-02-17 18:17:18+00:00,b'RT @billboard: Yeonjun of K-pop group TOMORROW x TOGETHER has tested positive for COVID-19.  https://t.co/OjCI9RNVrs'
2022-02-17 18:17:18+00:00,"b""RT @ScienceAlert: Does Drinking Red Wine Really Protect Against COVID? Let's Look at The Data https://t.co/cETDORnJdT"""
2022-02-17 18:17:17+00:00,b'RT @VOCMNEWS: 16 people are currently in hospital due to COVID-19. Five of those are in critical care.'
2022-02-17 18:17:17+00:00,b'RT @PMN_Journal: Original Research: \nPain and Self-Management Status Among Chinese Patients With Cancer During the COVID-19 Pandemic\n\nhttps\xe2\x80\xa6'
2022-02-17 18:17:15+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"
2022-02-17 18:17:15+00:00,b'RT @Parsifaler: 1) A UNIFYING THEORY OF COVID-19 PATHOLOGY: THE SPIKE PROTEIN AS SCLEROTHERAPEUTIC\nTRANSFORMING THE VASCULATURE INTO SCAR T\xe2\x80\xa6'
2022-02-17 18:17:14+00:00,"b'RT @translatingTXT: \xf0\x9f\x92\x9b: yeonjun, are you okay?\n\n\xf0\x9f\xa6\x8a: of course ha\n\xf0\x9f\xa6\x8a: it\xe2\x80\x99s because i\xe2\x80\x99m stronger (than covid-19) \n\n@TXT_members @TXT_bighit \n#YE\xe2\x80\xa6'"
2022-02-17 18:17:14+00:00,"b'RT @chris_herd: I spoke to 3,000+ teams about remote working after Covid-19\n\nThis is what I learned\n\n[ a thread ] \xf0\x9f\x92\xbb\xf0\x9f\x8f\xa0\xf0\x9f\x8c\x8e'"
2022-02-17 18:17:12+00:00,"b""RT @fibke: Here's the official picture, with countries grouped by World Bank income group\n\nhttps://t.co/B0v1g4zlUo\n\n2/"""
2022-02-17 18:17:12+00:00,b'RT @CSTEnews: A recent @CDCgov study shows consistently wearing a mask or respirator in indoor public settings significantly reduces the ri\xe2\x80\xa6'
2022-02-17 18:17:11+00:00,b'RT @VOCMNEWS: The province is reporting 316 new cases of COVID-19 today. \nEastern Health - 224\nCentral Health - 37\nWestern Health - 41\nLabr\xe2\x80\xa6'
2022-02-17 18:17:11+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"
2022-02-17 18:17:11+00:00,b'RT @EssexPR: Vaccinate the vulnerable turned into vaccinate anything that moves.\nIt was either the plan from the off and they lied or they\xe2\x80\xa6'
2022-02-17 18:17:10+00:00,"b'RT @DrJinRussell: Another terrific, nuanced piece by \xe2\x81\xa6@KlynchStuff\xe2\x81\xa9. Really appreciated the interdisciplinary voices in here, including phi\xe2\x80\xa6'"
2022-02-17 18:17:10+00:00,"b'RT @NPR: High school junior Nicolas Montero and his parents are separated by a political and cultural rift common throughout the U.S., his\xe2\x80\xa6'"
2022-02-17 18:17:10+00:00,"b'As part of the NDDoH COVID-19 Impact Wall project, Marissa Gourd, a member of the Spirit Lake Tribe from Fort Totte\xe2\x80\xa6 https://t.co/IRq1055OIw'"
2022-02-17 18:17:07+00:00,"b'Social isolation, economic stress, loss of loved ones and other struggles during the pandemic have contributed to r\xe2\x80\xa6 https://t.co/fd8X8P49pa'"
2022-02-17 18:17:07+00:00,"b'RT @CapitolNewsIL: If hospitalizations for COVID-19 continue to decline for the rest of the month, Gov. JB Pritzker plans to lift his execu\xe2\x80\xa6'"
2022-02-17 18:17:06+00:00,"b'RT @translatingTXT: \xf0\x9f\x92\x9b: yeonjun, are you okay?\n\n\xf0\x9f\xa6\x8a: of course ha\n\xf0\x9f\xa6\x8a: it\xe2\x80\x99s because i\xe2\x80\x99m stronger (than covid-19) \n\n@TXT_members @TXT_bighit \n#YE\xe2\x80\xa6'"
2022-02-17 18:17:06+00:00,"b""RT @CatRichert: It's the work on top of the work - filling in for colleagues out sick, taking care of a relentless stream of COVID-19 patie\xe2\x80\xa6"""
2022-02-17 18:17:06+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"
2022-02-17 18:17:06+00:00,"b'RT @SethMacFarlane: Really, Oscars? This would seem, from the outside looking in, a colossal abdication of responsible management. I cannot\xe2\x80\xa6'"
2022-02-17 18:17:06+00:00,b'Support Immunocompromised People for whom Covid-19 remains a significant risk https://t.co/BxxwKbEjtO'
2022-02-17 18:17:05+00:00,b'Stacker compiled a list of counties with the highest COVID-19 infection rates in Virginia using data from U.S. Depa\xe2\x80\xa6 https://t.co/LvVFtx69K0'
2022-02-17 18:17:05+00:00,"b'RT @TFISmartTravel: As you return to the office and begin #ReconnectingWith your daily commute, please remember to #MaskUp and be patient w\xe2\x80\xa6'"
2022-02-17 18:17:05+00:00,b'RT @translatingTXT: [220217] Weverse Notice about YEONJUN testing positive for COVID-19 https://t.co/7HKjTQCIRd'
2022-02-17 18:17:03+00:00,"b'RT @CODaleyNews: Dr. Herlihy says COVID-19 hospitalization to trend downward and should approach ""summer baseline levels"" last seen last su\xe2\x80\xa6'"
2022-02-17 18:17:03+00:00,b'RT @DawnButlerBrent: I\xe2\x80\x99ve written to the Prime Minister outlining my concerns regarding the plan to mark the Queen\xe2\x80\x99s 70-year reign by sendi\xe2\x80\xa6'
2022-02-17 18:17:01+00:00,b'RT @VPrasadMDMPH: Happy to see people become billionaires from making life saving vaccines\n\nBut if they want to make billions more by makin\xe2\x80\xa6'
2022-02-17 18:17:00+00:00,"b'RT @TheLancet: NEW\xe2\x80\x94Over 1 in 4 women have experienced intimate partner violence in their lifetimes, study finds.\n\nAuthors highlight urgent\xe2\x80\xa6'"
2022-02-17 18:17:00+00:00,b'Families who receive food assistance benefits will get an additional monthly payment in February in response to the\xe2\x80\xa6 https://t.co/gO1Vnpc8D5'
2022-02-17 18:16:58+00:00,"b""RT @RepAndyBiggsAZ: COVID-19 uncovered the true freedom-fighters and freedom-takers in our world. \n\nDon't ever forget their names."""
2022-02-17 18:16:57+00:00,b'RT @theseoulstory: (G)I-DLE Miyeon tests positive for COVID-19\n\nShe tested positive with a self-test kit on today and currently waiting for\xe2\x80\xa6'
2022-02-17 18:16:57+00:00,b'@leighaltman @MeckCounty The FDA should approve Novavax as well. Nobody should be mandated or coerced to take the P\xe2\x80\xa6 https://t.co/Lcw00MdPzL'
2022-02-17 18:16:55+00:00,b'RT @TonyHinton2016: No healthy kids need a covid vaccine on health grounds and very soon it will not be needed for travel either. Please th\xe2\x80\xa6'
2022-02-17 18:16:53+00:00,b'RT @MDHealthDept: Surround yourself with a greater level of protection against COVID-19\xe2\x80\x94get a booster. #GoVAXMaryland'
2022-02-17 18:16:52+00:00,b'RT @MichiganHHS: MDHHS will continue to monitor the transmission of COVID-19 closely to assess risk across the state and adjust as conditio\xe2\x80\xa6'
2022-02-17 18:16:52+00:00,b'Lower testing rates likely reason for falling COVID-19 case reports - WHO https://t.co/tfWok5eAUR'
2022-02-17 18:16:51+00:00,b'RT @Dare2BWell: Unauthorized COVID-19 testing sites detected! \n\nPlease take precautions when choosing a testing site. Consider  authorized\xe2\x80\xa6'
2022-02-17 18:16:51+00:00,b'RT @MichaelPSenger: Controlling COVID-19 has always been a lie.'
2022-02-17 18:16:50+00:00,"b""RT @RepAndyBiggsAZ: COVID-19 uncovered the true freedom-fighters and freedom-takers in our world. \n\nDon't ever forget their names."""
2022-02-17 18:16:50+00:00,b'RT @wef:COVID-19 has locked children out of their education with girls at highest risk https://t.co/gPvVSU9GSg https://t.co/YhQJd6Ug7W'
2022-02-17 18:16:49+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"
2022-02-17 18:16:49+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"
2022-02-17 18:16:48+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"
2022-02-17 18:16:45+00:00,"b'Sajid Javid: Support for 500,000 Immunocompromised People for whom Covid-19 remains a significant risk - Sign the P\xe2\x80\xa6 https://t.co/ClwdOAnN8g'"
2022-02-17 18:16:44+00:00,b'2/2 Our scheduled services &amp; appointments will continue tomorrow in #Limerick &amp; #NorthTipperary.  \nPlease exercise\xe2\x80\xa6 https://t.co/w17rQ0MsnY'
2022-02-17 18:16:44+00:00,b'RT @ELCScotGov: The suite of COVID-19 guidance has been updated for the childcare sector. This allows children from early learning and chil\xe2\x80\xa6'
2022-02-17 18:16:43+00:00,"b'RT @peterdaou: Perfect time to unmask, right?\n\n""A subvariant that scientists believe is even more contagious is on the rise, and a decline\xe2\x80\xa6'"
2022-02-17 18:16:43+00:00,"b""Where's the north's voice as pandemic restrictions are lifted, some ask as First Nations grapple with Omicron | CBC\xe2\x80\xa6 https://t.co/ENdDjqLKvq"""
2022-02-17 18:16:43+00:00,b'#NYR have reportedly placed Patrik Nemeth on IR due to lingering effects of COVID-19 https://t.co/i0auc5dVGF'
2022-02-17 18:16:41+00:00,"b'RT @PTI_News: Active COVID-19\xc2\xa0cases in country decline to 3,32,918: Union health ministry'"
2022-02-17 18:16:41+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"
2022-02-17 18:16:41+00:00,b'RT @TobyBerry6325: Interesting. What the Hell Is Happening to COVID in Israel? https://t.co/ApKTp9Drr0'
2022-02-17 18:16:41+00:00,"b""RT @PTI_News: Single-day rise of 30,757 COVID-19 infections, 541 fatalities push India's tally of cases to\xc2\xa04,27,54,315, death toll to\xc2\xa05,10,\xe2\x80\xa6"""
2022-02-17 18:16:40+00:00,b'RT @billboard: Yeonjun of K-pop group TOMORROW x TOGETHER has tested positive for COVID-19.  https://t.co/OjCI9RNVrs'
2022-02-17 18:16:40+00:00,b'RT @NoMorelocdowns: This is very wrong-you must stop.Not only do children not need this experimental jab but it may also harm their health\xe2\x80\xa6'
2022-02-17 18:16:38+00:00,b'RT @cathymcmorris: Our kids are in CRISIS. \n\nWhy?\n\nNot because of a virus that poses very little risk to children\xe2\x80\x94but because of the govern\xe2\x80\xa6'
2022-02-17 18:16:38+00:00,"b'Sajid Javid: Support for 500,000 Immunocompromised People for whom Covid-19 remains a significant risk - Sign the P\xe2\x80\xa6 https://t.co/M8awztK926'"
2022-02-17 18:16:38+00:00,b'RT @RosePillay1: He survived the Columbine massacre. Now Frank DeAngelis is applying the coping lessons he learned to coronavirus. https://\xe2\x80\xa6'
2022-02-17 18:16:37+00:00,b'RT @thehill: LA area reports second-highest COVID-19 death toll in almost a year https://t.co/oErEiEqWkT https://t.co/lygzsE1hV0'
2022-02-17 18:16:37+00:00,"b'Pfizer criticized over patent strategy for Covid-19 pill, despite a deal to broaden access in poor countries - STAT https://t.co/ygwO3KhTYh'"
2022-02-17 18:16:37+00:00,b'\xe2\x80\x98Yellowstone\xe2\x80\x99 actor won\xe2\x80\x99t attend awards ceremony over COVID-19 rules\n\nhttps://t.co/nUbCpwFsq0'
2022-02-17 18:16:36+00:00,"b'RT @chimeracoder: For immunocompromised people, the risk of dying of COVID-19 is currently *higher* than it was at the peak of the Delta wa\xe2\x80\xa6'"
2022-02-17 18:16:35+00:00,"b""RT @emsteck: NEW w/Drew Myers: Mark Finchem, Trump's pick to be Arizona's next secretary of state, spread dangerous misinfo about Covid-19,\xe2\x80\xa6"""
2022-02-17 18:16:35+00:00,b'Officials warn consumers to be on the lookout for phony COVID-19 testing kits and fake coronavirus testing sites as\xe2\x80\xa6 https://t.co/qIGDUnJ4eN'
2022-02-17 18:16:35+00:00,"b""RT @zimlive: ONE RULE FOR SOME... Police set rules for CCC's March 26 by-elections campaign launch at Zimbabwe Grounds on Sunday. ZRP says\xe2\x80\xa6"""
2022-02-17 18:16:34+00:00,"b""RT @awong37: Great news! Novavax's COVID-19 vaccine (Nuvaxolid) has been approved by Health Canada.\n\nIt's a protein subunit vaccine that ta\xe2\x80\xa6"""
2022-02-17 18:16:34+00:00,"b'RT @fibke: Two views on the pandemic - short\xf0\x9f\xa7\xb5 \n\nIf you believe the official data (left), most COVID-19 fatalities happened in the US, then\xe2\x80\xa6'"
2022-02-17 18:16:34+00:00,"b'RT @ABC: Hong Kong recorded another record daily high of new COVID-19 cases, as the city battles its worst outbreak since the pandemic bega\xe2\x80\xa6'"
2022-02-17 18:16:34+00:00,b'why does covid-19 hurt people?'
2022-02-17 18:16:32+00:00,b'RT @jjjuniz: fck covid 19! \nhttps://t.co/jLartPYx7i'
2022-02-17 18:16:32+00:00,b'RT @STForeignDesk: WHO says quarantine can be shortened in places with high Covid-19 cases https://t.co/mUiXaCvyJX'
2022-02-17 18:16:32+00:00,b'RT @EssexPR: Vaccinate the vulnerable turned into vaccinate anything that moves.\nIt was either the plan from the off and they lied or they\xe2\x80\xa6'
2022-02-17 18:16:31+00:00,b'RT @Novavax: We are pleased to announce that Health Canada (@GovCanHealth) has granted authorization of the Novavax COVID-19 vaccine \xe2\x80\x93 the\xe2\x80\xa6'
2022-02-17 18:16:30+00:00,"b""RT @fourdiamonds: Who's ready to take a stand against childhood cancer? \n\nWe dance TOMORROW! \xf0\x9f\x8e\x89 #THON2022 #FTK \n\n*Photo taken prior to the C\xe2\x80\xa6"""
2022-02-17 18:16:29+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"
2022-02-17 18:16:28+00:00,"b'RT @Chikwe_I: Research scientists, public health experts, policy makers, Member States and several other experts help shape the future.\xc2\xa0\n\xc2\xa0\xe2\x80\xa6'"
2022-02-17 18:16:28+00:00,"b""RT @RepAndyBiggsAZ: COVID-19 uncovered the true freedom-fighters and freedom-takers in our world. \n\nDon't ever forget their names."""
2022-02-17 18:16:28+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"
2022-02-17 18:16:26+00:00,b'RT @WRAL: Breaking News: Gov. Cooper to encourage end to local mask mandates https://t.co/JdtCQGmeeT'
2022-02-17 18:16:24+00:00,"b""RT @RCFD_PIO: 2022 is off to a busy start for RCFD! \n\nNew to 2022 is RCFD's At-A-Glance, a monthly service summary. In January, RCFD respon\xe2\x80\xa6"""
2022-02-17 18:16:23+00:00,b'Westfield Technical Academy has more than 50 students out in co-op assignments. With COVID-19 restrictions relaxing\xe2\x80\xa6 https://t.co/0giPQNRdLv'
2022-02-17 18:16:23+00:00,b'RT @dw_politics: Finally! COVID-19 restrictions in Germany are being eased \xe2\x80\x93 and most will be gone by the end of March.\n\nAfter meeting with\xe2\x80\xa6'
2022-02-17 18:16:21+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"
2022-02-17 18:16:21+00:00,b'Masking will continue to be strongly recommended even after March 14th. #covid19nfld Here is the planned rollout of\xe2\x80\xa6 https://t.co/oZDzU4WkCL'
2022-02-17 18:16:20+00:00,"b'RT @HamHealthSci: Teens 12-17 can get a booster starting this Friday. In Hamilton, you can walk in to most clinics for a shot, or book your\xe2\x80\xa6'"
2022-02-17 18:16:20+00:00,b'RT @woye1: 3: Recall Finance Ministry predicted 2.5% and Gov without a state predicted 3.1% forecast . This growth beat their forecast . Ou\xe2\x80\xa6'
2022-02-17 18:16:20+00:00,"b""There's no evidence that the COVID-19 vaccine causes infertility in women or men. https://t.co/AfQlMSSpyw"""
2022-02-17 18:16:20+00:00,"b'@piercedgeek If you haven\xe2\x80\x99t heard about it yet, maybe you should look it up. I assume you\xe2\x80\x99ve had the vaccine and I\xe2\x80\xa6 https://t.co/Z46r8IpczH'"
2022-02-17 18:16:20+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"
2022-02-17 18:16:19+00:00,b'RT @TheEconomist: Women fared worse than men https://t.co/oIDYFVKjqt'
2022-02-17 18:16:17+00:00,b'RT @DawnButlerBrent: I\xe2\x80\x99ve written to the Prime Minister outlining my concerns regarding the plan to mark the Queen\xe2\x80\x99s 70-year reign by sendi\xe2\x80\xa6'
2022-02-17 18:16:17+00:00,"b""RT @Golden_Pup: COVID-19 deaths by vaccination status\nOntario, Jan 16 to Jan 30\n\n833 deaths in total\n\nUnvax'd: 267 (16.51 per 100k)\nVaccina\xe2\x80\xa6"""
2022-02-17 18:16:16+00:00,"b'RT @johndefeo: The COVID-19 pandemic has laid bare many shortcomings and frailties in our society, but for me, none has been more damaging\xe2\x80\xa6'"
2022-02-17 18:16:14+00:00,"b'Sajid Javid: Support for 500,000 Immunocompromised People for whom Covid-19 remains a significant risk - Sign the P\xe2\x80\xa6 https://t.co/ObQUtyV6o0'"
2022-02-17 18:16:14+00:00,b'RT @DawnButlerBrent: I\xe2\x80\x99ve written to the Prime Minister outlining my concerns regarding the plan to mark the Queen\xe2\x80\x99s 70-year reign by sendi\xe2\x80\xa6'
2022-02-17 18:16:13+00:00,b'RT @KyleClark: NEW: Colorado deactivates crisis protocols for hospital staffing and EMS care due to dropping COVID-19 cases. #COVID19Colora\xe2\x80\xa6'
2022-02-17 18:16:12+00:00,b'RT @MollieeWalkerr: #NYR Patrik Nemeth goes on injured reserve with lingering effects of COVID-19 \xe2\xac\x87\xef\xb8\x8f\n\nhttps://t.co/usWRYXOt1q via @nypostsp\xe2\x80\xa6'
2022-02-17 18:16:12+00:00,b'RT @msdcenter: Learn more about COVID-19 Myth vs. Fact in this TX RPC report: https://t.co/xdtu2NyQu2 https://t.co/zI8dyUvB4V'
2022-02-17 18:16:12+00:00,b'RT @Parsifaler: 1) A UNIFYING THEORY OF COVID-19 PATHOLOGY: THE SPIKE PROTEIN AS SCLEROTHERAPEUTIC\nTRANSFORMING THE VASCULATURE INTO SCAR T\xe2\x80\xa6'
2022-02-17 18:16:12+00:00,"b'RT @Undergroundcou1: Holy shit, not good.  Myocarditis, Pulmonary Hemorrhage, and Extensive Myositis with Rhabdomyolysis 12 Days After Firs\xe2\x80\xa6'"
2022-02-17 18:16:11+00:00,b'RT @Parsifaler: 1) A UNIFYING THEORY OF COVID-19 PATHOLOGY: THE SPIKE PROTEIN AS SCLEROTHERAPEUTIC\nTRANSFORMING THE VASCULATURE INTO SCAR T\xe2\x80\xa6'
2022-02-17 18:16:11+00:00,b'RT @MichaelPSenger: Controlling COVID-19 has always been a lie.'
2022-02-17 18:16:11+00:00,"b'RT @ABC: Hong Kong recorded another record daily high of new COVID-19 cases, as the city battles its worst outbreak since the pandemic bega\xe2\x80\xa6'"
2022-02-17 18:16:09+00:00,"b""RT @mackette52: @rroliver360 @PeterJTParker It's all aboutbCASH \n\nSECRET GOVERNMENT CONTRACTS\n\n@pfizer PAYS POLITICIANS \nthus SILENCING tho\xe2\x80\xa6"""
2022-02-17 18:16:06+00:00,"b'Fewer people say they are out of work for reasons having to do with Covid-19, a sign that the labor market impact o\xe2\x80\xa6 https://t.co/CKU6zixB2X'"
